Front (Question)	Back (Answer)	Lecture	Exam Ticket
Сколько параметров в сети 784 → 128 → 64 → 10?	<p>Полносвязный слой $n_{in} \to n_{out}$ имеет $n_{in}\cdot n_{out} + n_{out}$ параметров.</p> <p>$784\cdot128 + 128 = 100\,352 + 128 = 100\,480$<br> $128\cdot64 + 64 = 8\,192 + 64 = 8\,256$<br> $64\cdot10 + 10 = 640 + 10 = 650$</p> <p><strong>Итого 109 386.</strong> Обрати внимание: 92% параметров в первом слое — это типично для MLP на изображениях и одна из причин, почему для картинок используют свёртки.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Backprop — это алгоритм обучения?	<p>Нет, и это важное различие. Backprop <strong>вычисляет градиенты</strong>. Обучает <strong>градиентный спуск</strong> (SGD, Adam и т. д.), который использует эти градиенты для обновления весов. Backprop = эффективная реализация цепного правила, оптимизатор — отдельная сущность.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Почему backprop идёт справа налево, а не слева направо?	<p>Loss — скалярная функция от многих параметров: $\mathbb{R}^{P} \to \mathbb{R}$, где $P$ огромно. При обходе справа налево (reverse mode) мы на каждом шаге умножаем <em>вектор на матрицу</em> — стоимость сопоставима с forward pass, и все $P$ градиентов получаются за один проход. При обходе слева направо (forward mode) пришлось бы делать отдельный проход на каждый параметр, то есть $P$ проходов.</p> <p>Правило: reverse mode выгоден, когда выходов мало, а входов много; forward mode — наоборот.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Что такое $\delta$ и какой у неё смысл?	<p>$\delta^{(l)} = \partial L/\partial z^{(l)}$ — градиент функции потерь по предактивации слоя $l$, то есть «сколько ошибки приходится на этот слой». Зная $\delta^{(l)}$, градиенты по параметрам получаются тривиально: $\partial L/\partial W^{(l)} = \delta^{(l)}(a^{(l-1)})^\top$ и $\partial L/\partial b^{(l)} = \delta^{(l)}$. Рекуррентно $\delta$ пересчитывается назад: $\delta^{(l)} = (W^{(l+1)\top}\delta^{(l+1)})\odot\varphi'(z^{(l)})$.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Почему при обучении нужно втрое больше памяти, чем при инференсе?	<p>Для backward pass нужны промежуточные активации $a^{(l)}$ и предактивации $z^{(l)}$ всех слоёв — они входят в формулы градиентов. Поэтому forward обязан их сохранить. Плюс хранятся сами градиенты и состояния оптимизатора (у Adam — два дополнительных буфера размера с веса). При инференсе ничего сохранять не нужно, память переиспользуется послойно.</p> <p>Отсюда приём <em>gradient checkpointing</em>: не хранить активации, а пересчитывать их заново при backward — экономия памяти ценой ~30% времени.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Почему нельзя инициализировать веса нулями?	<p>Проблема симметрии: все нейроны слоя выдадут одинаковый выход, получат одинаковые $\delta$ и обновятся одинаково. Они останутся идентичными навсегда, и слой из $n$ нейронов будет эквивалентен одному. Поэтому веса инициализируют случайно (Xavier для tanh/sigmoid, He для ReLU), а bias можно нулями — симметрию уже нарушают веса.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Что такое «умирающий ReLU» и как с ним бороться?	<p>Если после большого шага градиента веса нейрона стали такими, что $z < 0$ на всех объектах обучающей выборки, то $\text{ReLU}'(z) = 0$ всегда, градиент по этим весам всегда нулевой, и нейрон больше никогда не обновится — он мёртв.</p> <p>Средства: LeakyReLU или ELU (ненулевая производная слева), меньший learning rate, He-инициализация, BatchNorm (удерживает $z$ около нуля).</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Sigmoid или ReLU в скрытых слоях и почему?	<p>ReLU. У sigmoid максимум производной 0.25, и при перемножении по $L$ слоям градиент затухает экспоненциально ($0.25^{10} \approx 10^{-6}$). У ReLU производная в положительной области ровно 1 — градиент проходит без ослабления. Плюс ReLU в разы дешевле вычислительно. Sigmoid оставляют только там, где нужен именно выход в $(0,1)$: бинарная классификация на выходе и гейты в LSTM.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Как связаны число слоёв и выразительная сила? Не лучше ли просто сделать один очень широкий слой?	<p>По теореме об универсальной аппроксимации одного скрытого слоя достаточно для приближения любой непрерывной функции на компакте. Но теорема не ограничивает <em>ширину</em>: для многих функций она растёт экспоненциально с размерностью входа.</p> <p>Глубина даёт экспоненциальную экономию параметров за счёт переиспользования признаков: слой $l$ строит признаки из признаков слоя $l-1$. Аналогия: в булевых схемах есть функции, требующие экспоненциального размера при глубине 2, но полиномиального при глубине $O(\log n)$. Цена глубины — проблемы обучения (затухание градиента), которые решают ReLU, BatchNorm и skip-connections.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
В чём разница между символьным и автоматическим дифференцированием?	<p>Символьное: подаём формулу в систему (SymPy), она манипулирует выражением, выводит формулу производной, потом вычисляем. Плюс — точно, минус — выражение может разрастись экспоненциально. Автодифф: разлагаем вычисление на элементарные операции, применяем цепное правило к конкретным <em>числам</em> во время вычисления. Точность машинная, стоимость фиксированная, не зависит от сложности формулы. Автодифф — способ индустриального стандарта в ML.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Forward vs reverse mode — когда какой использовать?	<p>Forward mode: O(n·T) где n = число входов. Выгоден когда входов мало, выходов много. Reverse mode: O(m·T) где m = число выходов. Выгоден когда входов много, выходов мало. В нейросетях: входов тысячи/миллионы, выход = 1 скаляр loss, поэтому reverse выигрывает в миллионы раз. Reverse mode = backprop.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Почему в нейросетях используется именно reverse mode?	<p>Потому что нужно вычислить градиент loss по всем параметрам. Параметров может быть млн, loss — один скаляр. Forward mode потребовал бы млн проходов (по одному на каждый параметр), reverse mode — один проход назад. Стоимость reverse ≈ одному forward pass, reverse в миллионы раз дешевле.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Что такое вычислительный граф и зачем его сохранять?	<p>Вычислительный граф — это DAG (граф без циклов), где узлы = переменные, рёбра = операции. Во время forward pass PyTorch строит такой граф (динамически) и сохраняет его. При backward pass идём по графу в обратном порядке, применяя цепное правило. Граф нужен, чтобы знать, какие операции были и в каком порядке, и какие значения для них нужны.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Что такое коллокационные точки в PINN и почему их случайные?	<p>Коллокационные точки — это точки $(x_i, t_i)$ внутри области, где проверяем, что уравнение выполняется. Типично 5000–50000 таких точек. Они <em>случайные</em>, потому что: (1) нет необходимости в сетке — можно брать любые точки; (2) стохастичность помогает избежать переобучения; (3) быстрее, чем регулярная сетка при высоких размерностях.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Почему в PINN нельзя использовать ReLU?	<p>ReLU имеет вторую производную = 0 везде (кроме точки излома). Если PDE содержит $\frac{\partial^2 u}{\partial x^2}$ или выше, и $u$ реализована ReLU, то эта вторая производная всегда нулевая, уравнение вырождается в тривиальное. Нужны гладкие активации (tanh, sine, softplus) с ненулевыми производными любого порядка.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Как в PyTorch считаются вторые производные?	<p>Использовать torch.autograd.grad с create_graph=True. Первый раз: grad1 = torch.autograd.grad(y, x, create_graph=True)[0]. Результат grad1 остаётся дифференцируемым. Второй раз: grad2 = torch.autograd.grad(grad1.sum(), x)[0]. Вторая производная в grad2. Минус: дорого по памяти и времени, так что вторые производные доступны только для малых сетей.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Что такое адъюнкт в reverse mode и как он распространяется?	<p>Адъюнкт $\bar{z} = \frac{\partial L}{\partial z}$ для промежуточного значения z — это «сколько loss зависит от z». При reverse pass идём по графу назад и пересчитываем адъюнкты: $\bar{x} = \bar{z} \cdot \frac{\partial z}{\partial x}$ по цепному правилу. Если z зависит от нескольких x, адъюнкты суммируются. На выходе получаем $\frac{\partial L}{\partial \theta}$ для всех параметров θ.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Почему PINN медленно сходятся и как это решается?	<p>Loss содержит три слагаемых: L_PDE, L_BC, L_IC с разными масштабами. Нужно балансировать через коэффициенты λ. Если λ неправильный, одна часть доминирует, другие зарывают. Решения: (1) Подбирать λ вручную (боль). (2) Динамическое перевзвешивание: пересчитывать λ во время обучения, давая больший вес слагаемым с большей ошибкой. (3) Использовать многозадачное обучение (multi-task learning). (4) Улучшать инициализацию весов и выбор гиперпараметров оптимизатора.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Можно ли в PINN использовать данные (обратная задача)?	<p>Да, это основная фишка PINN. Если есть реальные измерения u_data в точках, добавляем в loss: $L = L_{\text{PDE}} + λ_d L_{\text{data}}$, где $L_{\text{data}} = \sum_i (u_\theta(x_i) - u_{\text{data}, i})^2$. Это позволяет совместить физику (уравнение должно выполняться) с данными (модель должна проходить через измерения). Отсюда и название «физически информированные» — информация одновременно от уравнения и от данных.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
На каких задачах PINN выигрывает у классических солверов?	<p>Высокие размерности (d ≥ 3), где сетка становится неприемлемо большой (проклятие размерности). Обратные задачи (искать коэффициенты уравнения по данным). Смешивание физики и данных при редких измерениях. Но на простых 1D–2D задачах классические солверы (FEM, FDM) быстрее и точнее. PINN — для специальных и трудных случаев.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
Чем loss отличается от метрики?	<p>Loss — дифференцируемая функция, которую модель минимизирует во время обучения (нужен градиент). Метрика — число, которое мы смотрим в конце, может быть недифференцируемой, главное что понятна человеку. Пример: оптимизируем cross-entropy, смотрим accuracy. Иногда совпадают, но обычно нет.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Почему MSE чувствительна к выбросам, а MAE нет?	<p>MSE = квадрат ошибки, поэтому большая ошибка наказывается резко (квадратично). Выброс с ошибкой 100 вносит вклад 10000 в loss. MAE = абсолютное значение, линейно. Выброс с ошибкой 100 вносит вклад 100. Также, производная MSE зависит от величины ошибки (2e), производная MAE константа (±1). Для робастности выбираем MAE.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
MSE минимизирует среднее или медиану?	<p>MSE минимизирует среднее. Доказательство: $\min_a \sum (y_i - a)^2 \Rightarrow \frac{\partial}{\partial a} = 0 \Rightarrow a = \frac{1}{N}\sum y_i$. MAE минимизирует медиану: $\frac{\partial}{\partial a} \sum |y_i - a| = 0$ означает одинаковое число точек слева и справа от $a$, что есть определение медианы.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Что такое cross-entropy и KL-дивергенция?	<p>Cross-entropy $H(p,q) = -\sum p_i \log q_i$ — средняя неожиданность при кодировании истинного распределения $p$ кодом для распределения $q$. KL-дивергенция $\text{KL}(p\|q) = \sum p_i \log(p_i/q_i)$ — расстояние между $p$ и $q$. Связь: $H(p,q) = H(p) + \text{KL}(p\|q)$. Так как $H(p)$ константна, минимизация CE = минимизация KL = максимизация похожести q на p.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Почему нельзя использовать MSE для классификации вместо CE?	<p><strong>Причина 1 (градиент):</strong> при использовании sigmoid, градиент MSE = $2(\hat{y} - y) \sigma'(z)$ содержит множитель $\sigma'(z)$, который насыщается (близко к 0) при большой ошибке. Градиент CE = $(\hat{y} - y)$ — чистый, без насыщения. Причина 2 (модель): MSE предполагает гауссов шум, классификация — категориальное распределение. Вероятностно неправильно.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Как работает метод максимального правдоподобия?	<p>Ищем параметры $\theta$, которые максимизируют произведение вероятностей $\prod_i p(y_i|x_i,\theta)$. Логарифмируем: $\max \sum_i \log p(y_i|x_i,\theta)$. Или минимизируем NLL = $-\sum_i \log p(y_i|x_i,\theta)$. Логарифм: произведение становится суммой, избегаем underflow, монотонность сохраняется.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Докажи, что ММП с гауссовым шумом → MSE.	<p>Предположим $y_i = f(x_i,\theta) + \varepsilon_i$, $\varepsilon_i \sim N(0,\sigma^2)$. Тогда $p(y_i|x_i,\theta) = \frac{1}{\sqrt{2\pi\sigma^2}} \exp(-(y_i-f(x_i,\theta))^2/(2\sigma^2))$. Логарифм: $\log p = -\frac{1}{2}\log(2\pi\sigma^2) - (y_i-f(x_i,\theta))^2/(2\sigma^2)$. Первое слагаемое от θ не зависит. Максимизируем второе → минимизируем $\sum (y_i-f(x_i,\theta))^2$ = MSE. Вывод готов.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Откуда берётся binary cross-entropy и почему она лучше MSE?	<p>Для бинарной классификации истинное распределение Бернулли: $p(y|x,\theta) = \hat{y}^y (1-\hat{y})^{1-y}$, где $\hat{y} = \sigma(\theta^\top x)$. По ММП логарифм правдоподобия: $\log p = y\log\hat{y} + (1-y)\log(1-\hat{y})$. Максимизируем = минимизируем $-[y\log\hat{y} + (1-y)\log(1-\hat{y})]$ = BCE. Лучше MSE потому что: (1) нет насыщения градиента, (2) правильная вероятностная модель.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
L2-регуляризация — это что из вероятности?	<p>L2-регуляризация = MAP (максимум апостериори) с гауссовым априором на параметры. Логарифм апостериора: $\log p(\theta|D) \propto \log p(D|\theta) + \log p(\theta) = \text{NLL} + \log N(θ; 0, \tau^2) = \text{NLL} - \|θ\|^2/(2\tau^2)$. Минимизируем: NLL + λ·||θ||² где λ~1/τ². Выбор λ = выбор дисперсии априора.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Что такое Focal loss и зачем нужна при дисбалансе?	<p>Focal loss: $L_f = -(1-\hat{y})^\gamma y \log\hat{y} - \hat{y}^\gamma (1-y)\log(1-\hat{y})$ с $\gamma>0$. Идея: примеры, на которых модель уже хорошо работает (высокая $\hat{y}$), получают маленький вес $(1-\hat{y})^\gamma \approx 0$. Примеры, на которых ошибается, получают вес близко к 1. Фокусируемся на hard examples, игнорируем easy. Это помогает при дисбалансе, не даёт модели сосредоточиться только на большом классе.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Какая вероятностная модель стоит за MAE?	<p>MAE стоит за лапласовым распределением шума: $p(y|x,\theta) = \frac{1}{2b} \exp(-|y-f(x,\theta)|/b)$ где $b$ — масштаб. По ММП логарифм: $\log p \propto -|y-f(x,\theta)|/b$. Максимизируем = минимизируем MAE. Лапласово распределение имеет тяжелые хвосты, что и обеспечивает робастность к выбросам.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
Почему MLP плохо работает на картинках, а свёртки работают?	<p>Два причины. Первая: размер входа. Картинка 224×224×3 = 150k пикселей. MLP с одним скрытым слоем 1000 нейронов → 150M параметров только в первом слое. Переобучение неизбежно. Свёртка с 32 фильтрами 3×3 → 9·32=288 параметров, выигрыш в миллионы раз.</p> <p>Вторая: структура. MLP не понимает соседства пикселей — каждый пиксель обрабатывается независимо. Если кот сдвинется на 1 пиксель, MLP его не узнает. Свёртка локальна и разделяет веса — одно ядро применяется везде, получается трансляционная эквивариантность. Плюс пулинг вводит инвариантность к позиции.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Объясни разницу между эквивариантностью и инвариантностью.	<p>Эквивариантность: сдвиг входа → сдвиг выхода ровно на столько же. Это свёртка. Если объект сдвинулся, его изображение на карте признаков сдвинулось ровно настолько же. Полезно: позиция объекта сохраняется, выход пространственно структурирован.</p> <p>Инвариантность: сдвиг входа → выход не меняется. Это пулинг и глобальный пулинг. Если объект сдвинулся, выход остаётся тем же. Полезно: представление объекта независимо от его позиции на картинке, можно использовать для классификации.</p> <p>Архитектура: свёртки+пулинг. Сначала эквивариантность (выравниваем признаки), потом инвариантность (забываем позицию и берём главное), получаем финальный вектор признаков для классификации.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Как считается формула размера выхода при свёртке?	<p>$H_{\text{out}} = \lfloor (H_{\text{in}} + 2p - k) / s \rfloor + 1$. Здесь $H_{\text{in}}$ — высота входа, $p$ — padding, $k$ — размер ядра, $s$ — stride. Интуиция: входная размерность плюс добавленные нули ($2p$), минус ядро ($k$) — это рабочий размер. Делим на stride (шаг скольжения), округляем вниз, добавляем 1 (первая позиция входа).</p> <p>Пример: 224×224, k=3, p=1, s=1: $(224+2-3)/1 + 1 = 224$. Same padding! При s=2: $\lfloor 223/2 \rfloor + 1 = 112$. Вдвое меньше. ✓</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Что такое padding и зачем он нужен?	<p>Padding — добавление нулей вокруг входной карты. Зачем? Без padding края входа видят меньше контекста, чем центр (углы видят только 4 соседа вместо 9 для 3×3 ядра). Это асимметрия.</p> <p>Same padding ($p = (k - 1)/2$ при $s = 1$) гарантирует, что выход той же размерности, что вход. Полезно: архитектура проще, нет неожиданного сжатия размеров.</p> <p>Valid padding (p=0) теряет края, выход меньше. Реже используется, но экономит вычисления на глубоких слоях.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Сколько параметров в Conv 3×3, 64 входных канала, 128 выходных?	<p>$k \times k \times C_{\text{in}} \times C_{\text{out}} + C_{\text{out}} = 3 \times 3 \times 64 \times 128 + 128 = 9 \times 8\,192 + 128 = 73\,728 + 128 = 73\,856$ параметров.</p> <p>Первое слагаемое — веса ядер (9 элементов × 64 входных канала × 128 ядер=фильтров), второе — bias для каждого фильтра. Не зависит от пространственных размеров входа!</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Что такое 1×1 свёртка и зачем она?	<p>1×1 свёртка — это линейная комбинация каналов в каждой пространственной позиции, без пространственного контекста. Матрица весов $C_{\text{out}} \times C_{\text{in}}$ применяется к вектору каналов в каждой позиции независимо.</p> <p>Зачем? Bottleneck (сжатие каналов 64 → 16 → 64 с меньшим числом параметров), дешёвая нелинейность между каналами (Conv 1×1 + ReLU), изменение числа каналов. Используется в ResNet и GoogLeNet.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Как растёт рецептивное поле с глубиной?	<p>Формула: $RF_l = RF_{l-1} + (k_l - 1) \cdot \prod_{i=1}^{l-1} s_i$. На каждом слое рецептивное поле увеличивается на $(k-1)$ умножить на совокупный stride предыдущих слоёв.</p> <p>Пример: три слоя Conv 3×3, все s=1, p='same'. RF растёт: 1 → 3 → 5 → 7. Три слоя 3×3 дают RF=7, как один слой Conv 7×7, но с меньшим числом параметров (2·9=18 vs 49) и большей нелинейностью (три активации вместо одной).</p> <p>Важно: большое рецептивное поле требуется для классификации целых объектов, а не их частей.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Dilated свёртка vs обычная свёртка со stride?	<p>Обычная свёртка с stride=2 растит рецептивное поле, но теряет разрешение вчетверо. Dilated свёртка (dilation=2) растит рецептивное поле без потери разрешения.</p> <p>Ядро 3×3 с d=2 охватывает эффективно область 5×5, но параметров всё ещё 9, и выход той же размерности, что вход. Идеально для сегментации, где нужен полноразмерный выход (пиксель-в-пиксель), но нейрон должен видеть весь объект.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
MaxPool: как работает backward pass?	<p>Максимум пулинга имеет градиент, который проходит только через позицию, где был максимум. Если в окне 2×2 максимум был на позиции (1,1), то dL/d(input[1,1]) += dL/d(output), остальные три позиции получают градиент 0.</p> <p>Это имеет смысл: максимум — это выбор, информация течёт через самую важную позицию. Нет параметров, которые обучаются, поэтому backward тривиален.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
BatchNorm: train vs eval режим. В чём разница?	<p>Train режим: нормализуем по батчу. Вычисляем среднее и дисперсию текущего батча, используем их для нормализации. Плюс обновляем running_mean и running_var (скользящие среднее/дисперсия из всех батчей обучения).</p> <p>Eval режим: нормализуем по running statistics (накопленные из обучения). Это гарантирует консистентность между обучением и инференсом.</p> <p>Типичная ошибка: забыть model.eval() перед инференсом. Тогда нормализация по маленькому батчу (может быть 1 пример!) даёт ненадёжные статистики, выход отличается от обучения, точность падает.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Почему в типовом блоке Conv → BN → ReLU, а не Conv → ReLU → BN?	<p>Потому что BatchNorm лучше работает на ненормированных данных, нормализует входы к ReLU, делая активацию более стабильной. Если применить BN после ReLU, половина значений уже выключены (отрицательные части ReLU), и нормализация менее информативна.</p> <p>Плюс: если Conv → BN, то bias в Conv можно удалить (параметр β в BN может выразить любой смещение). Экономим параметры.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
GlobalAveragePooling: почему это лучше, чем Flatten + FC?	<p>GlobalAveragePooling делает среднее по всей пространственной карте признаков. Выход 1-мерный вектор, независимый от размера входа. Если вход был 32×32×128 или 224×224×128, выход всё ещё 128-мерный!</p> <p>Преимущества: (1) инвариантность к размеру входа (нет нужды в resizing перед инференсом), (2) намного меньше параметров (нет Flatten + большого FC), (3) меньше переобучения, (4) интерпретируемость: каждая компонента выхода — среднее активации канала, что соответствует признаку.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
Что главное в AlexNet, что запустило эпоху DL в зрении?	<p>Четыре вещи вместе: (1) ReLU вместо tanh — нет затухания градиента, быстрое обучение; (2) Dropout — регуляризация на огромном датасете; (3) GPU (CUDA) — обучение больших сетей за разумное время; (4) Data augmentation — помощь обобщению. Каждая по отдельности важна, но вместе они дали 11 пункт улучшения (26% → 15% top-5 error).</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
