Task Statement & Title	Step-by-Step Solution	Lecture	Exam Ticket
<b>Задача 5. Выбор выходного слоя</b><br><p>Какую активацию и loss выбрать: (а) предсказание температуры завтра; (б) диагноз из 5 болезней, ровно одна; (в) теги статьи, их может быть несколько из 20?</p>	<p><strong>(а)</strong> 1 нейрон, <em>без активации</em>, MSE (или MAE, если в данных есть выбросы). Ставить sigmoid нельзя — обрежется область значений.</p> <p><strong>(б)</strong> 5 нейронов, <em>softmax</em>, categorical cross-entropy. Классы взаимоисключающие, сумма вероятностей = 1.</p> <p><strong>(в)</strong> 20 нейронов, <em>sigmoid покомпонентно</em> (не softmax!), сумма 20 бинарных cross-entropy. Метки независимы, сумма вероятностей не обязана быть 1.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
<b>Задача 6. Найдите ошибку в коде</b><br><pre><code>model = nn.Sequential(nn.Linear(10, 32), nn.ReLU(), nn.Linear(32, 3), nn.Softmax(dim=1)) loss_fn = nn.CrossEntropyLoss() for x, y in loader: loss = loss_fn(model(x), y) loss.backward() opt.step()</code></pre>	<p><strong>Две ошибки.</strong></p> <p><strong>1) Двойной softmax.</strong> <code>nn.CrossEntropyLoss</code> внутри применяет <code>log_softmax</code> и ожидает <em>сырые логиты</em>. Здесь softmax применяется дважды — распределение «сглаживается», градиенты становятся крошечными, обучение почти останавливается. Убрать <code>nn.Softmax</code> из модели.</p> <p><strong>2) Нет <code>opt.zero_grad()</code>.</strong> PyTorch накапливает градиенты, поэтому на шаге $k$ будет использована сумма градиентов всех предыдущих батчей. Обучение разойдётся.</p> <p>Исправленный цикл: <code>opt.zero_grad(); loss.backward(); opt.step()</code>.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
<b>Задача 1. Forward mode вручную</b><br><p>Функция $f(x) = x^2 + e^x$. Вычисли $f(0)$ и $f'(0)$ в forward mode, используя дуальные числа.</p>	<p>Инициализируем: $(x, \dot{x}) = (0, 1)$.</p> <p>$x^2$: $(0, 1) \times (0, 1) = (0, 0 \cdot 1 + 0 \cdot 1) = (0, 0)$.</p> <p>$e^x$: $\exp(0, 1) = (e^0, e^0 \cdot 1) = (1, 1)$.</p> <p>$x^2 + e^x$: $(0, 0) + (1, 1) = (1, 1)$.</p> <p><strong>Результат:</strong> $f(0) = 1$, $f'(0) = 1$. Проверка: $f'(x) = 2x + e^x$, при $x=0$: $f'(0) = 0 + 1 = 1$ ✓</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 2. Reverse mode вручную</b><br><p>Граф: $z = x + y$, $L = z^2$ с $x = 1, y = 2$. Выполни backward pass, найди $\frac{\partial L}{\partial x}$ и $\frac{\partial L}{\partial y}$.</p>	<p><strong>Forward:</strong> $z = 1 + 2 = 3$, $L = 9$.</p> <p><strong>Backward:</strong> $\bar{L} = 1$ (по определению).</p> <p>$\bar{z} = \frac{\partial L}{\partial z} = 2z = 6$.</p> <p>$\bar{x} = \bar{z} \cdot \frac{\partial z}{\partial x} = 6 \cdot 1 = 6$.</p> <p>$\bar{y} = \bar{z} \cdot \frac{\partial z}{\partial y} = 6 \cdot 1 = 6$.</p> <p><strong>Проверка:</strong> $\frac{\partial L}{\partial x} = \frac{\partial (x+y)^2}{\partial x} = 2(x+y) = 6$ ✓</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 3. Вторые производные в PyTorch</b><br><p>Функция $y = x^3$ с $x = 2$. Найди $y'$ и $y''$ используя torch.autograd.grad с create_graph=True.</p>	<pre><code>import torch x = torch.tensor(2.0, requires_grad=True) y = x**3 # Первая производная y_prime = torch.autograd.grad(y, x, create_graph=True)[0] print(f"y' = {y_prime.item()}") # 3*2^2 = 12 # Вторая производная y_double_prime = torch.autograd.grad(y_prime, x)[0] print(f"y'' = {y_double_prime.item()}") # 6*2 = 12 </code></pre> <p><strong>Ожидаемо:</strong> $y' = 12$, $y'' = 12$.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 4. Стоимость modes для нейросети</b><br><p>Нейросеть: 1000 входов, 1 млн параметров, 1 выход (loss). Во сколько раз reverse mode дешевле forward mode?</p>	<p><strong>Forward mode:</strong> нужно 1000 проходов (один на каждый вход).</p> <p><strong>Reverse mode:</strong> нужно 1 проход (один на выход = loss).</p> <p><strong>Ratio:</strong> $\frac{1000}{1} = 1000$ раз дешевле.</p> <p>На самом деле, дешевле ещё больше, потому что нужны градиенты по параметрам (1 млн), а не по входам.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 5. Активация для PINN</b><br><p>Почему ReLU не подходит для PINN, где нужна $\frac{\partial^2 u}{\partial x^2}$? Что лучше использовать?</p>	<p><strong>ReLU:</strong> $\text{ReLU}(z) = \max(0, z)$, первая производная = 0 или 1, вторая производная = 0 везде (кроме $z=0$).</p> <p>Если $u_\theta$ построена из ReLU, то $\frac{\partial^2 u}{\partial x^2} \equiv 0$, и PDE $\mathcal{L}(u) = u'' + u = 0$ вырождается в $u = 0$, что неправильно.</p> <p><strong>Решение:</strong> использовать tanh, sin/cos (Fourier features), softplus — всё, что имеет гладкие, ненулевые производные высоких порядков.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 6. Loss PINN с тремя слагаемыми</b><br><p>PDE: $u_t + u \cdot u_x = 0$ на $[0,1] \times [0,1]$ (x,t). BC: $u(0,t) = 0, u(1,t) = 0$. IC: $u(x,0) = \sin(\pi x)$. Запиши loss для PINN.</p>	<p>$$L = \frac{1}{N_f}\sum_i [u_t(x_i,t_i) + u(x_i,t_i) \cdot u_x(x_i,t_i)]^2 + \lambda_b \left[\frac{1}{N_b}\sum_i (u(0,t_i))^2 + (u(1,t_i))^2\right]$$</p> <p>$$+ \lambda_0 \frac{1}{N_0}\sum_i [u(x_i,0) - \sin(\pi x_i)]^2$$</p> <p>Здесь $(x_i, t_i)$ — коллокационные точки, производные $u_t, u_x$ вычисляются через autodiff.</p>	Лекция_02	Билет_2_Автодифференцирование_PINN
<b>Задача 1. MSE vs MAE на выбросе</b><br><p>Данные: $y = [10, 11, 12, 13, 14, 100]$. Предсказания: $\hat{y} = [10.5, 11.5, 12.5, 13.5, 14.5, 99.5]$. Считай MSE и MAE.</p>	<p><strong>Ошибки:</strong> $e = [-0.5, -0.5, -0.5, -0.5, -0.5, 0.5]$.</p> <p>$\text{MSE} = \frac{0.25 + 0.25 + 0.25 + 0.25 + 0.25 + 0.25}{6} = \frac{1.5}{6} = 0.25$.</p> <p>$\text{MAE} = \frac{0.5 + 0.5 + 0.5 + 0.5 + 0.5 + 0.5}{6} = \frac{3}{6} = 0.5$.</p> <p><strong>Вывод:</strong> выброса нет! Модель хорошо предсказывает везде. MSE и MAE одинаковые.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 2. Binary cross-entropy</b><br><p>Истина $y = 1$, предсказания $\hat{y} = [0.9, 0.5, 0.1]$. Считай BCE для каждого.</p>	<p>$\text{BCE} = -[y\log\hat{y} + (1-y)\log(1-\hat{y})] = -\log\hat{y}$ (так как $y=1$).</p> <p>$\hat{y} = 0.9$: $\text{BCE} = -\log 0.9 \approx 0.105$.</p> <p>$\hat{y} = 0.5$: $\text{BCE} = -\log 0.5 \approx 0.693$.</p> <p>$\hat{y} = 0.1$: $\text{BCE} = -\log 0.1 \approx 2.303$.</p> <p><strong>Вывод:</strong> уверенный правильный ответ (0.9) — маленький штраф. Неуверенный — большой штраф. Уверенный неправильный (0.1) — огромный штраф.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 3. Categorical CE</b><br><p>3 класса. Истина: класс 1 (one-hot = [0,1,0]). Предсказания: $\hat{y} = [0.1, 0.8, 0.1]$. Считай CE.</p>	<p>$\text{CE} = -\sum_k y_k \log\hat{y}_k = -(0 \cdot \log 0.1 + 1 \cdot \log 0.8 + 0 \cdot \log 0.1) = -\log 0.8 \approx 0.223$.</p> <p>Только правильный класс (класс 1) вносит в loss! Остальные не важны.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 4. ММП: гауссов шум</b><br><p>Предположим $y_i = \theta x_i + \varepsilon_i$, $\varepsilon_i \sim N(0, 1)$. Выборка: $(x_1, y_1) = (1, 2), (x_2, y_2) = (2, 4)$. Запиши loss функцию NLL.</p>	<p>$p(y_i | x_i, \theta) = \frac{1}{\sqrt{2\pi}} \exp(-(y_i - \theta x_i)^2 / 2)$.</p> <p>$\text{NLL} = -\sum_i \log p(y_i | x_i, \theta) = -\sum_i [-\frac{1}{2}\log(2\pi) - \frac{(y_i - \theta x_i)^2}{2}]$</p> <p>$= \sum_i [\frac{1}{2}\log(2\pi) + \frac{(y_i - \theta x_i)^2}{2}]$</p> <p>$= \text{const} + \frac{1}{2}[(2 - \theta)^2 + (4 - 2\theta)^2]$ (константу можно опустить)</p> <p>$= \frac{1}{2}[4 - 4\theta + \theta^2 + 16 - 16\theta + 4\theta^2] = \frac{1}{2}[5\theta^2 - 20\theta + 20]$.</p> <p>Это MSE loss по определению!</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 5. Регуляризация и апостериор</b><br><p>Напиши логарифм апостериора $\log p(\theta|D)$ с гауссовым априором и покажи, что это = NLL + λ||θ||².</p>	<p>$\log p(\theta|D) = \log p(D|\theta) + \log p(\theta) - \log p(D)$.</p> <p>Игнорируем $-\log p(D)$ (не зависит от θ). Пусть $p(\theta) = N(0, \tau^2)$, тогда:</p> <p>$\log p(\theta) = -\frac{\theta^2}{2\tau^2} + \text{const}$.</p> <p>$\log p(\theta|D) \propto \log p(D|\theta) - \frac{\theta^2}{2\tau^2} = -\text{NLL} - \frac{\|θ\|^2}{2\tau^2}$.</p> <p>Минимизируем MAP = максимизируем $\log p(\theta|D)$ = минимизируем NLL + λ||θ||² где $\lambda = \frac{1}{2\tau^2}$.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 6. Gradient CE vs MSE</b><br><p>Sigmoid выход, $y = 1, \hat{y} = 0.01$ (уверенная ошибка). Сравни $\frac{\partial L_{\text{CE}}}{\partial z}$ и $\frac{\partial L_{\text{MSE}}}{\partial z}$.</p>	<p>$\sigma(z) = 0.01$, $\sigma'(z) = 0.01 \cdot 0.99 = 0.0099$.</p> <p>$\frac{\partial L_{\text{CE}}}{\partial z} = \sigma(z) - y = 0.01 - 1 = -0.99$ (хороший градиент!).</p> <p>$\frac{\partial L_{\text{MSE}}}{\partial z} = 2(\sigma(z) - y) \sigma'(z) = 2 \cdot (-0.99) \cdot 0.0099 \approx -0.0196$ (крошечный!).</p> <p><strong>Вывод:</strong> CE даёт градиент 0.99, MSE даёт 0.0196 — почти в 50 раз меньше. CE намного лучше.</p>	Лекция_03	Билет_3_Loss-функции_MLE_MAP_/_L2
<b>Задача 1. Размер выхода свёртки</b><br><p>Вход 64×64, Conv 5×5, padding=2, stride=1. Какой размер выхода?</p>	<p>Формула: $H_{\text{out}} = \lfloor (64 + 2 \cdot 2 - 5) / 1 \rfloor + 1 = \lfloor (64 + 4 - 5) \rfloor + 1 = \lfloor 63 \rfloor + 1 = 64$.</p> <p><strong>Выход: 64×64.</strong> Это same padding (выход той же размерности).</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 2. Размер выхода с stride > 1</b><br><p>Вход 128×128, Conv 3×3, padding=1, stride=2. Размер выхода?</p>	<p>$H_{\text{out}} = \lfloor (128 + 2 - 3) / 2 \rfloor + 1 = \lfloor 127/2 \rfloor + 1 = \lfloor 63.5 \rfloor + 1 = 63 + 1 = 64$.</p> <p><strong>Выход: 64×64.</strong> Stride=2 сокращает размер примерно вдвое (не ровно, из-за padding и ceiling).</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 3. Параметры свёрточного слоя</b><br><p>Conv 3×3, 128 входных каналов, 256 выходных фильтров. Сколько параметров?</p>	<p>$k^2 \cdot C_{\text{in}} \cdot C_{\text{out}} + C_{\text{out}} = 3^2 \times 128 \times 256 + 256 = 9 \times 32\,768 + 256 = 294\,912 + 256 = 295\,168$.</p> <p><strong>295,168 параметров.</strong> Не зависит от размеров входной карты!</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 4. Рецептивное поле</b><br><p>Три слоя Conv 3×3, stride=1 везде, padding='same'. Какое рецептивное поле на выходе третьего слоя?</p>	<p>$RF_0 = 1$ (каждый пиксель входа).</p> <p>$RF_1 = 1 + (3-1) \times 1 = 1 + 2 = 3$.</p> <p>$RF_2 = 3 + (3-1) \times 1 = 3 + 2 = 5$.</p> <p>$RF_3 = 5 + (3-1) \times 1 = 5 + 2 = 7$.</p> <p><strong>Рецептивное поле 7×7.</strong> Три слоя 3×3 дают RF как одна свёртка 7×7, но параметров 18 vs 49 и нелинейностей три вместо одной.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 5. Dilated свёртка</b><br><p>Conv 3×3 с dilation=2. Какой эффективный размер ядра?</p>	<p>$k_{\text{eff}} = k + (k-1)(d-1) = 3 + (3-1)(2-1) = 3 + 2 = 5$.</p> <p><strong>Эффективный размер 5×5.</strong> Но параметров всё ещё 9 (как обычная 3×3). Рецептивное поле растёт, разрешение не теряется. Идеально для сегментации.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 6. Число параметров полной CNN</b><br><p>Conv 3×3, 32 фильтра, 64→128 выходные каналы, padding=1. Сколько параметров? (Не считай FC и GlobalAveragePooling)</p>	<p>$3 \times 3 \times 64 \times 128 + 128 = 9 \times 8\,192 + 128 = 73\,728 + 128 = 73\,856$ параметров для Conv.</p> <p>Если после BatchNorm: $\gamma, \beta$ по 128 параметров каждый → ещё 256 параметров в BN.</p> <p><strong>Всего с BN: 73,856 + 256 = 74,112 параметров.</strong> Всё ещё не зависит от пространственных размеров входа.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 7. Depthwise separable vs обычная</b><br><p>Conv 3×3, 64 входных канала, 128 выходных. Параметры обычной vs depthwise separable?</p>	<p><strong>Обычная:</strong> $3 \times 3 \times 64 \times 128 + 128 = 9 \times 8\,192 + 128 = 73\,856$ параметров.</p> <p><strong>Depthwise separable:</strong> depthwise $3 \times 3 \times 64 + 64 = 576 + 64 = 640$; pointwise $64 \times 128 + 128 = 8\,192 + 128 = 8\,320$.</p> <p>Всего depthwise separable: $640 + 8\,320 = 8\,960$ параметров.</p> <p><strong>Сокращение: 73,856 / 8,960 ≈ 8.2 раза!</strong> Используется в MobileNet для мобильных устройств.</p>	Лекция_04	Билет_4_Слои_свёрточных_сетей
<b>Задача 1. Сколько параметров в ResNet блоке?</b><br><p>Basic residual блок: Conv 3×3 (C_in→C_out) → BN → ReLU → Conv 3×3 (C_out→C_out) → BN → (+skip) → ReLU. Если C_in=64, C_out=128, сколько параметров?</p>	<p>Первая Conv: $3^2 \times 64 \times 128 + 128 = 9 \times 8\,192 + 128 = 73\,856$</p> <p>Вторая Conv: $3^2 \times 128 \times 128 + 128 = 9 \times 16\,384 + 128 = 147\,584$</p> <p>BN1: $2 \times 128 = 256$ (γ и β)</p> <p>BN2: $2 \times 128 = 256$ (γ и β)</p> <p>Skip-connection при C_in ≠ C_out нужна дополнительная Conv 1×1: $64 \times 128 + 128 = 8\,320$</p> <p>Итого: $73\,856 + 147\,584 + 256 + 256 + 8\,320 = 230\,272$ параметров.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 2. Трансфер-обучение: сценарий</b><br><p>У тебя 800 картинок кошек и собак. Есть предобученный ResNet-50 на ImageNet. Какую стратегию выбрать: (а) feature extraction, (б) fine-tuning, (в) обучение с нуля?</p>	<p><strong>Ответ: Feature extraction.</strong></p> <p>Критерии: мало данных (800 < 1000), задача похожа на ImageNet (классификация животных). Feature extraction оптимален: заморозим все Conv слои ResNet-50, обучим только новый FC слой (~ 1024 → 2) на 800 картинок. Это не переобучится.</p> <p>Fine-tuning риск: 800 картинок на 25M параметров → переобучение, даже с малым LR.</p> <p>Обучение с нуля: неразумно, выигрыш трансфера теряется.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 3. Inception-блок параметры</b><br><p>Inception-блок с входом 64×64×256. Четыре пути: Conv 1×1→64, Conv 1×1→96→Conv 3×3→128, Conv 1×1→16→Conv 5×5→32, MaxPool→Conv 1×1→32. Сколько параметров всего?</p>	<p>Путь 1 (Conv 1×1→64): $1 \times 1 \times 256 \times 64 + 64 = 16\,384 + 64 = 16\,448$</p> <p>Путь 2 (1×1 сжатие): $1 \times 1 \times 256 \times 96 + 96 = 24\,576 + 96 = 24\,672$</p> <p>Путь 2 (Conv 3×3): $3^2 \times 96 \times 128 + 128 = 9 \times 12\,288 + 128 = 110\,592 + 128 = 110\,720$</p> <p>Путь 3 (1×1 сжатие): $1 \times 1 \times 256 \times 16 + 16 = 4\,096 + 16 = 4\,112$</p> <p>Путь 3 (Conv 5×5): $5^2 \times 16 \times 32 + 32 = 25 \times 512 + 32 = 12\,800 + 32 = 12\,832$</p> <p>Путь 4 (Conv 1×1): $1 \times 1 \times 256 \times 32 + 32 = 8\,192 + 32 = 8\,224$</p> <p>Всего: $16\,448 + 24\,672 + 110\,720 + 4\,112 + 12\,832 + 8\,224 = 177\,008$ параметров.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 4. Vision Transformer vs CNN размеры</b><br><p>ViT-Base: 86M параметров, ResNet-152: 60M параметров. На ImageNet ViT лучше (88.6% vs 87.7%). Почему ViT тяжелее и зачем?</p>	<p>ViT более «прямолинейна» в обработке информации: self-attention может брать любой патч с любым другим напрямую (нет пространственной иерархии как в CNN). Это требует больше параметров в слоях Attention и Feedforward. Плюс ViT обучена с дополнительным предобучением на ImageNet-21k (14M картинок), что даёт преимущество. На ImageNet-1k alone ResNet обычно лучше. Вывод: ViT мощнее на большом датасете, но тяжелее и требует больше памяти.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 5. Mean/std нормализация</b><br><p>Используешь ResNet-50 для своего датасета собак. Картинки хранятся как uint8 [0, 255]. Нужно ли нормировать? Если да, какие mean/std?</p>	<p><strong>Да, критично!</strong> ResNet-50 предобучена на ImageNet с нормализацией по mean=0.485, 0.456, 0.406 и std=0.229, 0.224, 0.225 (для каналов RGB). Без этого точность упадёт.</p> <p>Правильный код:</p> <pre><code>transforms.ToTensor() # [0,255] → [0,1] transforms.Normalize( mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225] )</code></pre> <p>Это применит $(x - mean) / std$ к каждому каналу.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 6. Fine-tuning learning rates</b><br><p>Дообучаешь ResNet-50 на новом датасете. Какие LR для backbone и FC слоя?</p>	<p><strong>Дифференцированные learning rates:</strong></p> <p>FC слой (новый): $lr_{FC} = 1 \times 10^{-2}$ (обычный LR для обучения)</p> <p>Backbone (предобученный): $lr_{backbone} = lr_{FC} / 100 = 1 \times 10^{-4}$ (в 100 раз меньше)</p> <p>Причина: backbone уже хорош, нужно малые шаги, чтобы не испортить. FC слой новый, быстро адаптируется. Если использовать один LR для всего, либо backbone переучится и потеряет предобученные признаки, либо FC учится медленно.</p> <p>Опционально: постепенная разморозка — сначала обучить FC слой с backbone frozen, потом разморозить последний блок и дообучить с меньшим LR.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
<b>Задача 1. Mini-batch: число итераций</b><br><p>Датасет 60 000 примеров, batch size 64. Сколько итераций в одной эпохе? Сколько градиентных шагов за 10 эпох?</p>	<p>Число итераций в эпохе: $\lceil 60\,000 / 64 \rceil = 938$ (937 полных батчей по 64 примера плюс 1 неполный батч из 32 примеров).</p> <p>За 10 эпох: $938 \times 10 = 9\,380$ итераций (градиентных шагов) (или $937 \times 10 = 9\,370$, если включён <code>drop_last=True</code>).</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
